Chengalpattu	Tamil Nadu	Mohammed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR)
Pudukkottai	Tamil Nadu	Mookambigai College of Engineering, Keeranur
Pudukkottai	Tamil Nadu	Mother Terasa College of Engineering and Technology, Mettusalai and Taluk
Pudukkottai	Tamil Nadu	Mount Zion College of Engineering and Technology, Pilivalam
Namakkal	Tamil Nadu	Muthayammal College of Engineering, Kakkaveri
Namakkal	Tamil Nadu	Muthayammal Engineering College (Autonomous), Rasipuram
Dindigul	Tamil Nadu	N P R College of Engineering and Technology, Natham
Madurai	Tamil Nadu	N S N College of Engineering and Technology, Karur
Theni	Tamil Nadu	Nadar Saraswathi College of Engineering and Technology, Vadupudupatti
Erode	Tamil Nadu	Nandha College of Technology, Pitchandampalayam
Erode	Tamil Nadu	Nandha Engineering College (Autonomous), Pitchandampalayam
Salem	Tamil Nadu	Narasu's Sarathy Institute of Technology, Poosaripatty Village
Kanyakumari	Tamil Nadu	Narayanaguru College of Engineering, Manjalumoodu
Thoothukudi	Tamil Nadu	National Engineering College (Autonomous), Kovilpatti
Coimbatore	Tamil Nadu	Nehru Institute of Engineering and Technology, Thirumalayampalayam
Coimbatore	Tamil Nadu	Nehru Institute of Technology, Thirumalayampalayam
Tirunelveli	Tamil Nadu	Nellai College of Engineering (Formerly National College of Engineering), Maruthakulam
Ariyalur	Tamil Nadu	Nelliandavar Institute of Technology, Nerunjikorai Village
Chennai	Tamil Nadu	New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road
Tiruchirappalli	Tamil Nadu	OASYS Institute of Technology , Pulivalam Village
Tiruvannamalai	Tamil Nadu	Oxford College of Engineering, Venmani Village
Tiruchirappalli	Tamil Nadu	Oxford Engineering College,Karumandapam
Coimbatore	Tamil Nadu	P A College of Engineering and Technology (Autonomous), Palladam Road
Kancheepuram	Tamil Nadu	P B College of Engineering, Irungkattukottai
Namakkal	Tamil Nadu	P G P College of Engineering and Technology, Paramathi
Thanjavur	Tamil Nadu	P R Engineering College, Vallam
Dindigul	Tamil Nadu	P S N A Colllege of Engineering and Technology, Dindigul
Virudhunagar	Tamil Nadu	P S R Engineering College (Autonomous)
Krishnagiri	Tamil Nadu	P S V College of Engineeering and Technology, Mittapalli
Kancheepuram	Tamil Nadu	P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery
Madurai	Tamil Nadu	P T R College of Engineering and Technology, Thanapandiyan Nagar
Virudhunagar	Tamil Nadu	P.S.R.R College of Engineering, Appayanaickenpatti
Namakkal	Tamil Nadu	Paavai College of Engineering
Namakkal	Tamil Nadu	Paavai Engineering College (Autonomous)
Kancheepuram	Tamil Nadu	Pallavan College of Engineering, Thimmasamudram
Sivaganga	Tamil Nadu	Pandian Saraswathi Yadav Engineering College, Thirumansolai
Chennai	Tamil Nadu	Panimalar Engineering College (Autonomous), Nazarethpet
Chennai	Tamil Nadu	Panimalar Engineering College Chennai City Campus
Thanjavur	Tamil Nadu	Parisutham Institute of Technology and Science, Ring Road
Coimbatore	Tamil Nadu	Park College of Engineering and Technology, Kaniyur
Coimbatore	Tamil Nadu	Park College of Technology, Prema Ravi Nagar
Tiruchirappalli	Tamil Nadu	Pavendar Bharathidasan College of Engineering and Technology, Pudukkottai Main Road
Chennai	Tamil Nadu	PERI Institute of Technology, Mannivakkam
Tirunelveli	Tamil Nadu	PET Engineering College, Vallioor
Chennai	Tamil Nadu	PMR Engineering College,Adayalampattu
Tirupattur	Tamil Nadu	Podhigai College of Engineering and Technology, Vinayakapuram
Coimbatore	Tamil Nadu	Pollachi Institute of Engineering and Technology, Main Road
Kanyakumari	Tamil Nadu	Ponjesly College of Engineering, Vettornimadam
Coimbatore	Tamil Nadu	PPG Institute of Technology, Vilankurichi Village
Tiruvallur	Tamil Nadu	Prathyusha Engineering college, Aranvoyalkuppam
Chennai	Tamil Nadu	Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road
Chennai	Tamil Nadu	Prince Shri Venkateshwara Padmavathy Engineering College, Ponmar
Tirupattur	Tamil Nadu	Priyadarshini Engineering College, Vaniyambadi
Coimbatore	Tamil Nadu	PSG College of Technology (Autonomous), Peelamedu
Coimbatore	Tamil Nadu	PSG Institute of Technology and Applied Research, Avinashi Road
Tirunelveli	Tamil Nadu	PSN College of Engineering and Technology (Autonomous),Melathediyoor
Tirunelveli	Tamil Nadu	PSN Engineering College, Melathediyoor
Tirunelveli	Tamil Nadu	PSN Institute of Technology and Science,Melathediyoor
Tiruvallur	Tamil Nadu	R M D Engineering College (Autonomous), Kavaraipettai
Tiruvallur	Tamil Nadu	R M K College of Engineering and Technology (Autonomous), Puduvoyal
Tiruvallur	Tamil Nadu	R M K Engineering College (Autonomous), Kavaraipettai
Coimbatore	Tamil Nadu	R V S College of Engineering and Technology, Kannampalayam
Dindigul	Tamil Nadu	R V S College of Engineering, N Paraipatti
Dindigul	Tamil Nadu	R V S Educational Trust\[CloseCurlyQuote]s Groups of Institutions (Integrated Campus), N Paraipatti
Coimbatore	Tamil Nadu	R V S Technical Campus-Coimbatore, Kumaran Kottam Campus
Kancheepuram	Tamil Nadu	Rajalakshmi Engineering College (Autonomous), Thandalam
Kancheepuram	Tamil Nadu	Rajalakshmi Institute of Technology, Irulapalayam
Kanyakumari	Tamil Nadu	Rajas Institute of Technology , Ozhuginasery
Kancheepuram	Tamil Nadu	Rajiv Gandhi College of Engineering, Nemili
Virudhunagar	Tamil Nadu	Ramco Institute of Technology, North venganallur Village
Ranipet	Tamil Nadu	Ranipettai Engineering College, Thenkadappanthangal
Coimbatore	Tamil Nadu	Rathinam Technical Campus, Pollachi Road
Virudhunagar	Tamil Nadu	Renganayagi Varatharaj College of Engineering, Salvarpatti
Perambalur	Tamil Nadu	Roever Engineering College, Elambalur
Kanyakumari	Tamil Nadu	Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road
Kancheepuram	Tamil Nadu	Rrase College of Engineering, Padappai
Chennai	Tamil Nadu	S A Engineering College (Autonomous), Thiruverkadu
Tiruvannamalai	Tamil Nadu	S K P Engineering College
Chennai	Tamil Nadu	S K R Engineering College, Poonamallee
Namakkal	Tamil Nadu	S S M College of Engineering, Komarapalayam
Tenkasi	Tamil Nadu	S Veerasamy Chettiar College of Engineering and Technology, Puliangudi
Madurai	Tamil Nadu	SACS-M A V M M Engineering College, Kidaripatty
Salem	Tamil Nadu	Salem College of Engineering and Technology
Tiruvallur	Tamil Nadu	SAMS College of Engineering and Technology, Panappakkam
Tiruchirappalli	Tamil Nadu	Saranathan College of Engineering, Panjappur
Viluppuram	Tamil Nadu	Saraswathy College of Engineering and Technology
Tenkasi	Tamil Nadu	Sardar Raja College of Engineering, Alangulam
Tiruppur	Tamil Nadu	Sasurie College of Engineering, Vijayamangalam
Kanyakumari	Tamil Nadu	Satyam College of Engineering and Technology,Satyam Nagar
Kancheepuram	Tamil Nadu	Saveetha Engineering College (Autonomous), Thandalam
Dindigul	Tamil Nadu	SBM College of Engineering and Technology, Thamaraipady
Tirunelveli	Tamil Nadu	SCAD College of Engineering and Technology, Cheranmahadevi
Chennai	Tamil Nadu	School of Architecture and Planning, Anna University
Namakkal	Tamil Nadu	Selvam College of Technology, Pappanaickenpatti
Nagapattinam	Tamil Nadu	Sembodai Rukmani Varatharajan Engineering College, Sembodai Village
Namakkal	Tamil Nadu	Sengunthar Engineering College (Autonomous), Tiruchengode
Virudhunagar	Tamil Nadu	Sethu Institute of Technology (Autonomous), Kariapatti
Pudukkottai	Tamil Nadu	Shanmuganathan Engineering College, Pillivalam
Tiruchirappalli	Tamil Nadu	Shivani Engineering College, Tiruchirappalli-Dindigul NH Road
Chengalpattu	Tamil Nadu	Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology, Old Mahabalipuram Road (OMR)
Salem	Tamil Nadu	Shree Sathyam College of Engineering and Technology
Erode	Tamil Nadu	Shree Venkateshwara Hi-Tech Engineering College, Othakuthirai
Dharmapuri	Tamil Nadu	Shreenivasa Engineering College, B Pallipatti
